Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	16.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.56214	 "	"	33.6777	 "	"	1.38858	 "	"	10.4667	 "	"	0.052608	 "	"	0.543747	 "	"	0.722927	 "	"	10.4667	 "	"	17	 "	"	19	 "	"	25	 "	"	11	 "	"	7	 "	"	4	 "
"	16.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.930905	 "	"	34.5349	 "	"	0.70301	 "	"	7.76143	 "	"	0.055872	 "	"	0.280594	 "	"	0.722927	 "	"	7.76146	 "	"	20	 "	"	18	 "	"	24	 "	"	9	 "	"	7	 "	"	6	 "
"	8.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.48666	 "	"	33.1341	 "	"	1.38807	 "	"	5.88397	 "	"	0.052512	 "	"	0.543234	 "	"	0.722927	 "	"	5.884	 "	"	11	 "	"	17	 "	"	23	 "	"	11	 "	"	7	 "	"	3	 "
"	8.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.14544	 "	"	27.6501	 "	"	3.04238	 "	"	7.5471	 "	"	0.013152	 "	"	2.19754	 "	"	2.13873	 "	"	7.54713	 "	"	17	 "	"	19	 "	"	25	 "	"	12	 "	"	9	 "	"	4	 "
"	16.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.1389	 "	"	33.1341	 "	"	3.0403	 "	"	7.53621	 "	"	0.052512	 "	"	2.19547	 "	"	2.13873	 "	"	7.53624	 "	"	14	 "	"	18	 "	"	25	 "	"	12	 "	"	9	 "	"	4	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.18819	 "	"	34.1692	 "	"	1.12491	 "	"	1.98711	 "	"	0.02784	 "	"	0.280081	 "	"	0.722927	 "	"	1.98712	 "	"	8	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	16.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.77529	 "	"	32.0956	 "	"	2.61789	 "	"	12.0919	 "	"	0.052512	 "	"	2.19547	 "	"	2.13873	 "	"	12.0919	 "	"	20	 "	"	17	 "	"	23	 "	"	9	 "	"	9	 "	"	6	 "
"	2.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.02463	 "	"	30.6912	 "	"	1.97677	 "	"	2.25958	 "	"	0.00696	 "	"	1.13194	 "	"	2.13873	 "	"	2.2596	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	1024	 "	"	1.04757	 "	"	31.3696	 "	"	0.965137	 "	"	5.86653	 "	"	0.052416	 "	"	0.542721	 "	"	0.722927	 "	"	5.8666	 "	"	11	 "	"	14	 "	"	20	 "	"	7	 "	"	7	 "	"	3	 "
"	16.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.22683	 "	"	27.9643	 "	"	3.04445	 "	"	12.1353	 "	"	0.013168	 "	"	2.19962	 "	"	2.13873	 "	"	12.1354	 "	"	31	 "	"	20	 "	"	27	 "	"	12	 "	"	9	 "	"	6	 "
